sample_id,cancer_type,n_spots,n_edges,n_interface,n_tumor_core,total_energy,exact_energy,coexact_energy,exact_fraction,coexact_fraction,interface_coexact_density_mean,tumor_core_coexact_density_mean,interface_vs_tumor_enrichment,log2_interface_vs_tumor_enrichment,mwu_p_interface_gt_tumor,interface_density_p95,tumor_core_density_p95,density_gini_all,density_gini_interface,interface_lcc_fraction,spatial_score,valid
Glioblstoma4,Glioblastoma,4861,29166,1672,268,59228.14745601326,35919.652794110116,23305.92143049861,0.6064625408178843,0.39349401309245957,0.840779420819202,0.6031555808309895,1.3939677382400002,0.4791971720970699,1.3914363222720268e-09,1.957801903859234,1.3156775957587028,0.42226404463813316,0.3602570655387938,0.6267942583732058,0.22580706021809563,True
Glioblstoma5,Glioblastoma,4434,26604,1450,278,60541.567057226435,41949.542911374454,18590.29204069025,0.6929048082241079,0.30706658159538425,0.7211321307621575,0.5530029623822096,1.3040294172284035,0.38297641528392656,2.5529373749275305e-16,1.6170373504494249,1.3599488702856881,0.39154575653587,0.33449633717388827,0.6731034482758621,0.22515063798738963,True
Lung1,Lung,4948,29688,1736,227,55982.62491222727,25511.494450290287,30465.38297020717,0.45570379185128695,0.5441935425138161,0.9649461403085211,0.6753271020598042,1.4288574194104247,0.514861962220452,9.997663390523445e-20,1.9531125700012633,1.3135883802107378,0.33344921544027506,0.2811813066607307,0.4642857142857143,0.13054846380676782,True
Lung2,Lung,4708,28248,1270,406,32294.893405655137,25849.66553613416,6434.887404067427,0.8004257890384504,0.19925402209070672,0.2677466787018689,0.24537831935799762,1.0911586622701803,0.1258608950887069,0.02709429173895127,0.7177613420169802,0.6084891246968188,0.3932216161954012,0.4001689478254138,0.6401574803149607,0.25617114534020585,True
Lung3,Lung,4949,29694,1502,331,48037.682402739796,33755.43807801198,14281.104065619329,0.7026866490979332,0.2972896141385209,0.5043759957999904,0.35048598931962954,1.4390760577267472,0.5251428430906698,2.4385016537179223e-20,1.1232340837555554,0.8045807436768129,0.363608663842915,0.3416576725700433,0.2137150466045273,0.07301738541610114,True
Lung4,Lung,4829,28974,775,806,39693.97727749648,34886.097737938326,4804.740908056447,0.8788763467579284,0.12104458251857708,0.2817185896076671,0.16251864161233245,1.7334540014058049,0.7936495539778584,6.192965488682458e-66,0.6401024430291213,0.4092601424549895,0.4191809817687939,0.33746213634480426,0.11483870967741935,0.038753716302822684,True
Lung5,Lung,4082,24492,939,470,42767.346052996916,32846.103325589815,9915.32464322808,0.7680182746174433,0.23184334681280191,0.4778970951491435,0.2573518795459799,1.8569792301124535,0.8929576791506125,5.1020119904947227e-51,1.0887824537141202,0.5790833187060694,0.3881823030540812,0.35504568417114446,0.27050053248136313,0.09604004662350446,True
Lung6,Lung,4966,29796,1375,382,42628.21288190619,33555.22032723315,9071.049508399565,0.7871599126191817,0.21279450615322013,0.42384498485098143,0.3025394092823959,1.4009579309185327,0.4864136340235331,4.054732525902948e-20,0.9679485763924666,0.6586745441852756,0.35601283285669316,0.3371415016539492,0.4829090909090909,0.16280869607143436,True
Lung7,Lung,4701,28206,983,605,40129.80625103441,32264.01666176775,7853.780812028458,0.8039913390046854,0.1957094126719342,0.3654704234680311,0.23229184369481337,1.5733243907892664,0.6538161588240959,1.0068671749003243e-38,0.8773653241884062,0.6022391550590328,0.3844978558150385,0.358653695411395,0.237029501525941,0.08501150664379963,True
Ovarian1,Ovarian,2826,16956,759,259,24746.65478900934,16776.605016953137,7968.653237190338,0.6779342565688549,0.32200931015247497,0.5953482748584127,0.35614392258650185,1.671650804913399,0.7412735109159585,1.3706016634098209e-30,1.2744395540715108,0.8189765994908759,0.32601344870638393,0.3058452165706971,0.31620553359683795,0.09670994990377774,True
Ovarian2,Ovarian,3821,22926,1027,338,23017.85299587823,18982.757121840725,4033.7286586999853,0.8246971220660735,0.1752434798945974,0.26656036421946977,0.17785446401998672,1.49875554536554,0.5837650915931314,3.5942203176084013e-19,0.6692745706980685,0.46644267244460147,0.37189290938105124,0.3736159952759608,0.4148003894839338,0.1549760603578961,True
Prostate5,Prostate,4932,29592,1209,596,51338.495755248194,39783.77625088619,11553.814133970674,0.7749306960716551,0.22505166861632403,0.5205412854900602,0.22667921517250517,2.2963785413304287,1.199360479420925,2.1395012628528143e-97,1.2376869077754922,0.5845616141233362,0.4620111641879787,0.37548029410575134,0.24400330851943755,0.0916184340456548,True
Prostate6,Prostate,4942,29652,1410,422,56656.48833019272,40651.934170372566,15999.878365899645,0.717515952161631,0.2824015190043675,0.5401087425824527,0.2479124558795032,2.17862688933545,1.123419142303021,4.7305222540191e-76,1.3100261197153231,0.6662970391876238,0.3936959430905915,0.360174745477402,0.274468085106383,0.0988564726948614,True
Prostate7,Prostate,4729,28374,1072,479,48631.828386201625,37509.19766746778,11121.471022961652,0.7712890695697207,0.22868708399450519,0.4202537172287471,0.17700644165857743,2.3742283799873682,1.2474587162896236,8.610197832919025e-71,1.1732945516150823,0.46852196040807587,0.4083273493385122,0.42590615693759015,0.2574626865671642,0.10965494339064823,True
Prostate8,Prostate,4948,29688,1424,443,76520.04529384608,57471.964971969996,19044.796970690706,0.7510707129258851,0.24888637869405877,0.568770868421044,0.21716971999454457,2.61901552588783,1.3890246122110093,4.007625918408289e-82,1.531953264417259,0.5133430943727347,0.47004659595134,0.4345543140231607,0.19101123595505617,0.08300475661116552,True
Prostate9,Prostate,4903,29418,1564,308,56971.29606474654,41261.59575132096,15705.688061749457,0.724252362179511,0.2756772119753132,0.5007127719278954,0.21835954857908585,2.293065612123911,1.1972776357442523,2.4708270272253842e-51,1.4163324412144467,0.6459264787558324,0.4433775696178308,0.4429478126967967,0.24616368286445012,0.10903766489019612,True
