sample_id,cancer_type,n_interface,n_edges,comm_TI,comm_TE,comm_TM,comm_IE,comm_IM,comm_EM,frac_TI,frac_TE,frac_TM,frac_IE,frac_IM,frac_EM,tumor_sector_strength,immune_sector_strength,tumor_sector_fraction,immune_sector_fraction,tm_dominance,immune_to_TM_ratio,operator_entropy,dominant_channel,TM_is_dominant,immune_sector_gt_TM,exhaustion_sector_strength,immune_sector_fraction_lie,tm_dominance_lie,immune_closure,algebra_entropy_lie,immune_sector_entropy,jacobi_inconsistency_proxy,lie_immune_geometry_score,kts_state
Lung3,Lung,1502,9012,133.92480890852235,131.5151099403002,116.47460362776026,145.53022294747535,124.83519744507754,129.66353574980567,0.1712717256048461,0.1681900463861919,0.1489552721041629,0.1861134812512392,0.1596473413469215,0.1658221333066369,381.9145224765828,400.02895614235854,0.4884170440952009,0.5115829559047976,0.1489552721041629,3.4344736421752735,1.7894682848246029,IE,False,True,406.7088686375812,0.5115829559047976,0.1489552721041629,0.6011234652374375,1.7894682848246029,1.096439127923569,1.8062066652974988e-07,4.424786573072797,S0_weak
Lung4,Lung,775,4650,64.89087320653783,64.60950389325866,59.643110993773305,87.10230985902851,73.70181951922282,81.41277488885214,0.1504330818400232,0.1497807982315552,0.1382674720489956,0.2019246815460967,0.1708590330138571,0.1887349333194697,189.14348809356977,242.21690426710347,0.438481352120574,0.5615186478794236,0.1382674720489956,4.061104463387006,1.782542101443914,IE,False,True,233.12458864113933,0.5615186478794236,0.13826747204899562,0.651615936112545,1.782542101443914,1.0962870193601986,1.1417532899734952e-05,5.166494199808075,S1_fragmented_or_diffuse
Lung5,Lung,939,5634,99.48669462630636,105.8957515163888,107.7680966566296,101.8886572202352,101.69726038751564,112.47162155187216,0.1581141397875387,0.1683000497811433,0.1712757667083823,0.1619315773933156,0.1616273905301659,0.1787510757994524,313.1505427993248,316.057539159623,0.4976899562770644,0.502310043722934,0.1712757667083823,2.9327560657087757,1.790892299110026,EM,False,True,320.25603028849616,0.502310043722934,0.1712757667083823,0.6061244784984794,1.790892299110026,1.0974826630593577,1.0734454666049933e-07,3.8838600438828808,S2_mixed_interface
Lung6,Lung,1375,8250,131.60122395849987,126.23029137467962,126.96531963617028,142.96421545467095,162.60914705483984,161.20869181181794,0.1545379125921226,0.1482308837879046,0.1490940196297324,0.1678813522182926,0.1909501857077325,0.1893056460642141,384.7968349693498,466.7820543213287,0.4518628160097596,0.5481371839902391,0.1490940196297324,3.6764531894136754,1.7861211407252435,IM,False,True,430.4031986411685,0.5481371839902391,0.1490940196297324,0.644180669351648,1.7861211407252437,1.0969348975559157,6.291012675812079e-06,4.739454059209605,S2_mixed_interface
Lung7,Lung,983,5898,87.60558043598873,106.27653129564077,78.5150147534688,98.4419138990509,77.32761148996842,88.59368281516417,0.1632117255584867,0.1979962460474311,0.1462757392438828,0.183400127649217,0.1440635726832003,0.16505258881778,272.3971264850983,264.3632082041835,0.5074837108498008,0.4925162891501973,0.1462757392438828,3.3670401646648167,1.7852178952862454,TE,False,True,293.3121280098558,0.4925162891501973,0.14627573924388282,0.5769032365485207,1.7852178952862454,1.0937963986178818,5.42165957706307e-06,4.313871088570464,S1_fragmented_or_diffuse
Ovarian1,Ovarian,759,4554,112.2119075104011,107.2578159899975,97.28321998843856,135.9678328171041,93.38324930362432,97.37878202125576,0.1743821376107053,0.1666832659988225,0.1511823141734218,0.2112998687839245,0.1451215917445303,0.1513308216885939,316.75294348883716,326.7298641419842,0.4922477177829497,0.5077522822170487,0.1511823141734218,3.358542862590388,1.7831513071932767,IE,False,True,340.60443082835735,0.5077522822170487,0.15118231417342184,0.5981876799876052,1.7831513071932767,1.0835856456498618,2.845890975314272e-05,4.28745641961358,S2_mixed_interface
Ovarian2,Ovarian,1027,6162,89.06485680481117,87.85522341140125,85.76410871775752,95.15238183930656,95.24734562972957,91.36094965813388,0.1635883858161116,0.1613666119161001,0.1575257919837309,0.1747695455881495,0.1749439687416086,0.1678056959542972,262.68418893396995,281.76067712716997,0.4824807897159427,0.5175192102840553,0.1575257919837309,3.285298259839876,1.7909903490501513,IM,False,True,274.3685549088417,0.5175192102840553,0.1575257919837309,0.6142849304581458,1.7909903490501513,1.0984257107199347,8.403439633015844e-08,4.283402437287464,S4_TM_dominated_organized
Prostate5,Prostate,1209,7254,125.32938716347,135.40003069584006,156.82777448732125,138.7675704545773,138.98606741968644,165.92613949728752,0.1455225351095652,0.1572157669220192,0.1820959619727412,0.1611258867579561,0.1613795880884745,0.1926602611492425,417.55719234663127,443.67977737155127,0.4848342640043257,0.5151657359956731,0.1820959619727412,2.829089291242973,1.7872842992108342,EM,False,True,440.09374064770486,0.5151657359956731,0.18209596197274125,0.6298608541391061,1.7872842992108342,1.0949642707723548,1.6161808125016328e-06,3.787426823555439,S1_fragmented_or_diffuse
Prostate6,Prostate,1410,8460,149.58414610320506,130.49882063220866,143.34021000200732,184.60434106594437,168.38617800849715,161.18205032906047,0.1595401288016531,0.1391845272009097,0.1528806104251061,0.1968911887940644,0.1795935814572137,0.1719099633210518,423.42317673742104,514.1725694035019,0.4516052664276689,0.5483947335723299,0.1528806104251061,3.5870783878180306,1.785457641276003,IE,False,True,476.2852120272135,0.5483947335723299,0.15288061042510614,0.6473641617948663,1.785457641276003,1.0969912357416163,1.1878440348271006e-05,4.645146365146375,S2_mixed_interface
Prostate7,Prostate,1072,6432,121.47108929317284,105.9322981203732,122.0944570613317,112.50565552777329,129.188992757942,119.15051374511071,0.1710034281757897,0.1491283748135591,0.1718809869923751,0.1583821541105997,0.1818684657619761,0.1677365901456985,349.49784447487775,360.845162030826,0.492012789981724,0.5079872100182745,0.1718809869923751,2.955459000481568,1.7897798957235942,IM,False,True,337.58846739325725,0.5079872100182745,0.17188098699237514,0.6134229525455869,1.7897798957235942,1.0969931844915142,3.262694342788348e-07,3.915039178702801,S2_mixed_interface
Prostate8,Prostate,1424,8544,172.04474698410638,152.65084691979845,146.22682435720318,203.6947743062481,195.76393837145696,182.44786533807715,0.1634118623181034,0.1449911120035791,0.1388894349170698,0.1934737502733795,0.185940868900586,0.1732929715872812,470.9224182611081,581.9065780157822,0.4472924092387524,0.5527075907612469,0.1388894349170698,3.9794790085456255,1.784544715965536,IE,False,True,538.7934865641237,0.5527075907612468,0.13888943491706976,0.6418543833659939,1.7845447159655359,1.0975858782605146,6.04936153075166e-06,5.072310269659467,S2_immune_active
Prostate9,Prostate,1564,9384,167.6909592399538,138.37014221412784,136.4464272617056,215.53166531680083,199.3387405549785,171.46063342358065,0.1629905453137491,0.1344915971429917,0.1326218043375558,0.2094902660321589,0.1937512324604247,0.1666545547131187,442.5075287157872,586.3310392953599,0.4301039467942966,0.5698960532057024,0.1326218043375558,4.297152010955677,1.7774763885126506,IE,False,True,525.3624409545093,0.5698960532057025,0.13262180433755583,0.6570329483212968,1.7774763885126506,1.094224143432155,2.3919448837938996e-05,5.420988793428469,S2_immune_active
